"unique_id","range","setpoint","yvar","count","day","week","exclude","range_start","range_end","modal_bp","modal_rpt","modal_y","ii_threshold_abs","mean_rpt","sd_rpt","setpoint_rpt","ii","expi","contri","total_techreps"
"20231106_00001","range1",NA,"area",9,0,0,NA,0,36,151.266666666667,13.7555555555556,273355.444444444,109342.177777778,9.68042020721907,5.02663069432856,NA,NA,NA,NA,9
"20231106_00001","range1",NA,"height",9,0,0,NA,0,36,147.741111111111,12.5803703703704,25118,10047.2,9.85060301164133,4.93401164664404,NA,NA,NA,NA,9
"20231106_00001","range2","control","area",9,0,0,NA,115,160,512.883333333333,134.294444444444,7065,2826,134.416195451748,3.28284093809006,134.841632445638,-0.425436993889649,2.69283565089946,-2.80740657880297,9
"20231106_00001","range2","control","height",9,0,0,NA,115,160,513.188888888889,134.396296296296,627.444444444444,250.977777777778,134.364916071811,3.26325553350342,134.841632445638,-0.476716373826892,2.65867776463255,-2.81927764209863,9
"20231106_00001","range2","self","area",9,0,0,NA,115,160,512.883333333333,134.294444444444,7065,2826,134.416195451748,3.28284093809006,134.294444444444,0.121751007303456,3.05383712204914,-3.0138403916657,9
"20231106_00001","range2","self","height",9,0,0,NA,115,160,513.188888888889,134.396296296296,627.444444444444,250.977777777778,134.364916071811,3.26325553350342,134.396296296296,-0.0313802244856417,2.98360869791264,-3.05547356302423,9
"20231106_00002","range1",NA,"area",13,0,0,NA,0,36,151.669230769231,13.8897435897436,256839,102735.6,10.8650109224604,3.32744192929828,NA,NA,NA,NA,13
"20231106_00002","range1",NA,"height",13,0,0,NA,0,36,139.204615384615,9.7348717948718,24863,9945.2,10.8069796667432,3.67441800906864,NA,NA,NA,NA,13
"20231106_00002","range2","control","area",13,0,0,NA,115.384615384615,160,515.106153846154,135.035384615385,6248.15384615385,2499.26153846154,135.143431303628,3.27202344350318,134.841632445638,0.301798857989976,2.9872372601774,-2.49647602248031,13
"20231106_00002","range2","control","height",13,0,0,NA,115.384615384615,160,514.461538461538,134.820512820513,551.923076923077,220.769230769231,135.171666858287,3.34053960096158,134.841632445638,0.330034412649414,3.07905406273435,-2.53705830404795,13
"20231106_00002","range2","self","area",13,0,0,NA,115.384615384615,160,515.106153846154,135.035384615385,6248.15384615385,2499.26153846154,135.143431303628,3.27202344350318,135.035384615385,0.10804668824291,3.04562171000439,-3.00986136451345,13
"20231106_00002","range2","self","height",13,0,0,NA,115.384615384615,160,514.461538461538,134.820512820513,551.923076923077,220.769230769231,135.171666858287,3.34053960096158,134.820512820513,0.351154037774137,3.22708387684892,-2.95131454274102,13
"20231106_00003","range1",NA,"area",15,21,3,NA,0,36,151.488,13.8293333333333,276944.066666667,110777.626666667,11.6862150336596,2.75197087867477,NA,NA,NA,NA,15
"20231106_00003","range1",NA,"height",15,21,3,NA,0,36,151.444,13.8146666666667,24965.7333333333,9986.29333333333,11.4516208357376,3.09607563147103,NA,NA,NA,NA,15
"20231106_00003","range2","control","area",15,21,3,NA,115,160,516.949333333333,135.649777777778,4778,1911.2,135.056305128716,3.12555902549899,134.841632445638,0.214672683078316,2.77476937684567,-2.45157850814785,15
"20231106_00003","range2","control","height",15,21,3,NA,115,160,516.754666666667,135.584888888889,410.8,164.32,135.070728308775,3.19492733015855,134.841632445638,0.22909586313735,2.87539197020772,-2.49159312320749,15
"20231106_00003","range2","self","area",15,21,3,NA,115,160,516.949333333333,135.649777777778,4778,1911.2,135.056305128716,3.12555902549899,135.649777777778,-0.593472649061916,2.55021994267027,-3.24561116862344,15
"20231106_00003","range2","self","height",15,21,3,NA,115,160,516.754666666667,135.584888888889,410.8,164.32,135.070728308775,3.19492733015855,135.584888888889,-0.514160580113996,2.66991275205954,-3.24620778386093,15
"20231106_00004","range1",NA,"area",15,21,3,NA,0,36,151.218666666667,13.7395555555556,301720.2,120688.08,11.2405303476674,3.14189995159447,NA,NA,NA,NA,15
"20231106_00004","range1",NA,"height",15,21,3,NA,0,36,142.779333333333,10.9264444444444,25191.5333333333,10076.6133333333,10.7902730480556,3.95928335848551,NA,NA,NA,NA,15
"20231106_00004","range2","control","area",15,21,3,NA,115,160,515.241333333333,135.080444444444,6208.13333333333,2483.25333333333,134.880561351862,3.3083093630712,134.841632445638,0.0389289062246883,2.83856316658964,-2.70488990542983,15
"20231106_00004","range2","control","height",15,21,3,NA,115,160,515.226,135.075333333333,510.133333333333,204.053333333333,134.851141345735,3.41257465545042,134.841632445638,0.00950890009738744,2.93202466846235,-2.80863970121559,15
"20231106_00004","range2","self","area",15,21,3,NA,115,160,515.241333333333,135.080444444444,6208.13333333333,2483.25333333333,134.880561351862,3.3083093630712,135.080444444444,-0.199883092582215,2.93408295313332,-3.17554908223357,15
"20231106_00004","range2","self","height",15,21,3,NA,115,160,515.226,135.075333333333,510.133333333333,204.053333333333,134.851141345735,3.41257465545042,135.075333333333,-0.224191987598406,3.03279144542431,-3.27223819808994,15
"20231106_00005","range1",NA,"area",15,21,3,NA,0,36,151.298,13.766,266721.533333333,106688.613333333,10.9603847355225,3.24831961870104,NA,NA,NA,NA,15
"20231106_00005","range1",NA,"height",15,21,3,NA,0,36,149.179333333333,13.0597777777778,24660.3333333333,9864.13333333333,11.195425837384,3.21644315838844,NA,NA,NA,NA,15
"20231106_00005","range2","control","area",15,21,3,NA,115,160,517.026,135.675333333333,5868,2347.2,135.177395295424,3.27275616516505,134.841632445638,0.33576284978638,3.00082769358862,-2.48490025290001,15
"20231106_00005","range2","control","height",15,21,3,NA,115,160,516.441333333333,135.480444444444,512.933333333333,205.173333333333,135.148275736492,3.29279221635007,134.841632445638,0.306643290854908,3.01906296947195,-2.50953328208673,15
"20231106_00005","range2","self","area",15,21,3,NA,115,160,517.026,135.675333333333,5868,2347.2,135.177395295424,3.27275616516505,135.675333333333,-0.497938037909411,2.75402132229233,-3.28269430616458,15
"20231106_00005","range2","self","height",15,21,3,NA,115,160,516.441333333333,135.480444444444,512.933333333333,205.173333333333,135.148275736492,3.29279221635007,135.480444444444,-0.332168707951986,2.85439591813043,-3.23292513971774,15
"20231106_00006","range1",NA,"area",15,21,3,NA,0,36,151.358666666667,13.7862222222222,246881.4,98752.56,10.9059485173125,3.44237943011239,NA,NA,NA,NA,15
"20231106_00006","range1",NA,"height",15,21,3,NA,0,36,142.82,10.94,23430.8666666667,9372.34666666667,11.0185047489644,3.69157600237339,NA,NA,NA,NA,15
"20231106_00006","range2","control","area",15,21,3,NA,115,160,517.210666666667,135.736888888889,4687.06666666667,1874.82666666667,135.306226249239,3.29568048801153,134.841632445638,0.464593803601144,2.9519459636175,-2.57559629018902,15
"20231106_00006","range2","control","height",15,21,3,NA,115,160,516.64,135.546666666667,411.333333333333,164.533333333333,135.301537858286,3.31501513349525,134.841632445638,0.459905412648473,2.99634327623485,-2.58126320493206,15
"20231106_00006","range2","self","area",15,21,3,NA,115,160,517.210666666667,135.736888888889,4687.06666666667,1874.82666666667,135.306226249239,3.29568048801153,135.736888888889,-0.4306626396502,2.77703185768228,-3.30559508154895,15
"20231106_00006","range2","self","height",15,21,3,NA,115,160,516.64,135.546666666667,411.333333333333,164.533333333333,135.301537858286,3.31501513349525,135.546666666667,-0.245128808380646,2.9092967310867,-3.21954079781459,15
"20231106_00007","range1",NA,"area",15,21,3,NA,0,36,151.440666666667,13.8135555555556,263994.2,105597.68,10.2374854597714,4.81646580347522,NA,NA,NA,NA,15
"20231106_00007","range1",NA,"height",15,21,3,NA,0,36,147.144,12.3813333333333,23802.4,9520.96,10.7359279952209,4.30296801114632,NA,NA,NA,NA,15
"20231106_00007","range2","control","area",15,21,3,NA,115,160,516.348666666667,135.449555555556,5519.26666666667,2207.70666666667,135.223571372261,3.22445883564131,134.841632445638,0.381938926623787,2.7956756940217,-2.6258734657069,15
"20231106_00007","range2","control","height",15,21,3,NA,115,160,516.136,135.378666666667,466.866666666667,186.746666666667,135.229121505379,3.31652673949177,134.841632445638,0.387489059741213,2.88035703026417,-2.69089620973855,15
"20231106_00007","range2","self","area",15,21,3,NA,115,160,516.348666666667,135.449555555556,5519.26666666667,2207.70666666667,135.223571372261,3.22445883564131,135.449555555556,-0.225984183294226,2.8290221991844,-3.12617628872683,15
"20231106_00007","range2","self","height",15,21,3,NA,115,160,516.136,135.378666666667,466.866666666667,186.746666666667,135.229121505379,3.31652673949177,135.378666666667,-0.149545161287909,2.95667998306104,-3.17610207380414,15
"20231106_00008","range1",NA,"area",15,21,3,NA,0,36,151.368666666667,13.7895555555556,283294.8,113317.92,10.5345963428361,3.97953831001466,NA,NA,NA,NA,15
"20231106_00008","range1",NA,"height",15,21,3,NA,0,36,145.007333333333,11.6691111111111,25323.5333333333,10129.4133333333,10.6906299809138,4.09345500023449,NA,NA,NA,NA,15
"20231106_00008","range2","control","area",15,21,3,NA,115,160,516.958666666667,135.652888888889,5416.46666666667,2166.58666666667,135.171790134503,3.20517914250788,134.841632445638,0.330157688865046,2.86301588195384,-2.51304831731001,15
"20231106_00008","range2","control","height",15,21,3,NA,115,160,516.774666666667,135.591555555556,453.533333333333,181.413333333333,135.147997767309,3.27975945489056,134.841632445638,0.306365321671808,2.92769506362319,-2.58140034244259,15
"20231106_00008","range2","self","area",15,21,3,NA,115,160,516.958666666667,135.652888888889,5416.46666666667,2166.58666666667,135.171790134503,3.20517914250788,135.652888888889,-0.481098754386297,2.71245516473702,-3.21058075935226,15
"20231106_00008","range2","self","height",15,21,3,NA,115,160,516.774666666667,135.591555555556,453.533333333333,181.413333333333,135.147997767309,3.27975945489056,135.591555555556,-0.443557788246204,2.80186065387248,-3.26430994134992,15
"20231106_00009","range1",NA,"area",13,21,3,NA,0,36,151.406923076923,13.8023076923077,269973.153846154,107989.261538462,10.7562163801105,3.29991143869829,NA,NA,NA,NA,13
"20231106_00009","range1",NA,"height",13,21,3,NA,0,36,139.167692307692,9.7225641025641,26974.7692307692,10789.9076923077,10.9486929937851,3.27543716424111,NA,NA,NA,NA,13
"20231106_00009","range2","control","area",13,21,3,NA,115,160,513.699230769231,134.56641025641,4771.15384615385,1908.46153846154,134.219115174755,3.41171078515461,134.841632445638,-0.622517270882991,2.68535137066969,-3.02537327332637,13
"20231106_00009","range2","control","height",13,21,3,NA,115,160,514.363076923077,134.787692307692,425.846153846154,170.338461538462,134.229362130838,3.49839460028532,134.841632445638,-0.612270314799723,2.77416253708141,-3.09026347229204,13
"20231106_00009","range2","self","area",13,21,3,NA,115,160,513.699230769231,134.56641025641,4771.15384615385,1908.46153846154,134.219115174755,3.41171078515461,134.56641025641,-0.347295081655707,2.93733921433074,-3.38764778823021,13
"20231106_00009","range2","self","height",13,21,3,NA,115,160,514.363076923077,134.787692307692,425.846153846154,170.338461538462,134.229362130838,3.49839460028532,134.787692307692,-0.558330176854485,2.92801945298413,-3.52612854226526,13
"20231106_00010","range1",NA,"area",15,21,3,NA,0,36,151.534666666667,13.8448888888889,253306.4,101322.56,11.0502145151149,3.24292238260925,NA,NA,NA,NA,15
"20231106_00010","range1",NA,"height",15,21,3,NA,0,36,140.713333333333,10.2377777777778,24549.7333333333,9819.89333333333,11.1510152598078,3.24561659150543,NA,NA,NA,NA,15
"20231106_00010","range2","control","area",15,21,3,NA,115,160,515.776666666667,135.258888888889,6121.93333333333,2448.77333333333,134.887400714783,3.3435478032468,134.841632445638,0.0457682691450333,2.73769264648459,-2.86909627214877,15
"20231106_00010","range2","control","height",15,21,3,NA,115,160,514.450666666667,134.816888888889,544.733333333333,217.893333333333,134.848746646039,3.4113044810963,134.841632445638,0.00711420040112479,2.7803227826778,-2.94036278756874,15
